Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Unsupervised anomaly detection for tumor delineation in a preclinical model of glioblastoma using CEST MRI.	10.64898/2026.02.17.706435
Computed tomography of interstitial lung disease in systemic sclerosis: dataset and deep learning model for pulmonary lesion segmentation.	10.4081/reumatismo.2026.1920
Automated subcutaneous fat segmentation with a convolutional neural network in magnetic resonance guided high-intensity focused ultrasound treatment for uterine fibroids.	10.1080/02656736.2026.2634734
Machine Learning-Based Ear Thermal Imaging for Emotion Sensing.	10.3390/s26041248
Evaluating the Managerial Feasibility of an AI-Based Tooth-Percussion Signal Screening Concept for Dental Caries: An In Silico Study.	10.3390/diagnostics16040638
An Interpretable Ensemble Transformer Framework for Breast Cancer Detection in Ultrasound Images.	10.3390/diagnostics16040622
Fine-Tuning a Small Vision Language Model Using Synthetic Data for Explaining Bacterial Skin Disease Images.	10.3390/diagnostics16040603
Adaptive Bandelet Transform and Transfer Learning for Geometry-Aware Thyroid Cancer Ultrasound Classification.	10.3390/diagnostics16040554
A Two-Stage Localization and Refinement Neural Network Structure for Data-Efficient Microbleed Detection.	10.3390/brainsci16020207
Multi-Site Classification of Autism Spectrum Disorder Using Spatially Constrained ICA on Resting-State fMRI Networks.	10.3390/brainsci16020181
WMCA-Net: Wavelet Multi-Scale Contextual Attention Network for Segmentation of the Intercondylar Notch.	10.3390/bioengineering13020236
A Robust ConvNeXt-Based Framework for Efficient, Generalizable, and Explainable Brain Tumor Classification on MRI.	10.3390/bioengineering13020157
Dual-path deep learning framework for accurate and interpretable brain tumor diagnosis.	10.1186/s12911-026-03367-7
Virtual 3D landmark palpation in clubfoot: feasibility of an innovative standardized morphometric protocol. A preliminary study.	10.1186/s12891-026-09646-8
FlowVN Trained on a Single Dataset Enables Rapid Reconstruction of Highly Accelerated 4D Flow MRI Across Multiple Sites.	10.1002/mrm.70317
Geometric deep learning-based coronary wall shear stress estimation from real-world patients.	10.1016/j.compbiomed.2026.111583
Emerging light-based strategies in cancer theranostics: Photodynamic therapy, nanomedicine, and precision oncology.	10.1016/j.ctarc.2026.101150
Diagnostic performance of phase-contrast computed tomography versus digital mammography: A pilot study.	10.1016/j.radi.2026.103371
Ensemble model assisted classification of gastrointestinal bleeding using wireless capsule endoscopy.	10.1007/s13246-026-01715-5
Radiation-dose effects in correlative X-ray/cryo-electron microscopy of frozen-hydrated biological samples.	10.1107/S2059798326001427
Demographic distribution matching between real-world and virtual phantom population.	10.1002/mp.70364
Radiomics-Driven Hybrid Deep Learning for MRI-Based Prediction of Glioma Grade and 1p/19q Codeletion.	10.3390/tomography12020025
Assessing Impact of Data Quality in Early Post-Operative Glioblastoma Segmentation.	10.3390/jimaging12020073
AACNN-ViT: Adaptive Attention-Augmented Convolutional and Vision Transformer Fusion for Lung Cancer Detection.	10.3390/jimaging12020062
Neuro-Geometric Graph Transformers with Differentiable Radiographic Geometry for Spinal X-Ray Image Analysis.	10.3390/jimaging12020059
MRI-Based Bladder Cancer Staging via YOLOv11 Segmentation and Deep Learning Classification.	10.3390/diseases14020045
A Deep-Learning-Enhanced Ultrasonic Biosensing System for Artifact Suppression in Sow Pregnancy Diagnosis.	10.3390/bios16020075
Automated classification of shoulder radiology focusing on cuff tear arthropathy and glenoid erosion using AI.	10.1186/s12891-026-09603-5
Respiration Can Trigger Cerebrovascular Reactivity: A Novel Method to Quantify Cerebrovascular Resistance Dynamics Using Real-Time Phase-Contrast MRI.	10.1002/mrm.70322
The Harvard-Emory ECG Database.	10.1038/s41597-026-06861-9
An optimized hierarchical attention assisted deep learning model for brain tissue classification.	10.1016/j.jneumeth.2026.110724
TASNet: A tri-modal attentive scale robust adaptive fusion framework for progressive mild cognitive impairment classification.	10.1016/j.jneumeth.2026.110726
MICCAI STS 2024 challenge: Semi-supervised instance-level tooth segmentation in panoramic X-ray and CBCT images.	10.1016/j.media.2026.103986
NEC-Net: A hybrid transformer for necrotizing enterocolitis diagnosis by lesion segmentation on abdominal X-rays.	10.1016/j.compmedimag.2026.102731
Dual-view and dual-modality fusion in contrast-enhanced spectral mammography for breast-side classification: a patient-grouped evaluation.	10.1016/j.crad.2026.107276
Explainable active reinforcement deep learning improves lung cancer detection from CT images.	10.1038/s41598-026-38239-7
Deep learning model for body weight estimation from computed tomography scout images incorporating sex and height.	10.1007/s12194-026-01028-y
Deep learning analysis of MRI to assess rectal cancer treatment.	10.3389/fonc.2025.1643852
Deep learning models for pulmonary embolism segmentation on dual-energy CT: performance analysis and image quality correlation.	10.1186/s12880-026-02221-6
LCBTS-Net: A lightweight cascaded 3D brain tumor segmentation network in magnetic resonance imaging.	10.1016/j.compmedimag.2026.102727
LLM2image: A novel framework for accurate diagnosis of diarrhea viruses using pathological images and semantic information.	10.1016/j.compmedimag.2026.102735
Automatic segmentation of coronary plaques in coronary CT angiography using neural networks.	10.1371/journal.pone.0343887
Banana 0.9: An open-source, reproducible medical imaging system for low-resource gastric cancer screening.	10.1371/journal.pone.0339892
Cogformer: A unified multi-scale brain representation for visual decoding and reconstruction from fMRI.	10.1109/TMI.2026.3667706
Dual Low-b-value-driven U-shaped fusion GAN for synthesizing high-b-value prostate DWI.	10.1007/s13246-026-01713-7
Diagnostic accuracy of deep learning vs. human raters for detecting osteoporotic vertebral compression fractures in routine CT scans.	10.1007/s00330-026-12393-y
Radiomics dataset from chest CT of clinically healthy adults.	10.1016/j.dib.2026.112556
Diabetic retinopathy classification network with multi-frequency contextual attention module.	10.1088/1873-4030/ae45ab
Maternal-Fetal Ultrasouno Video Dataset for End-to-end Intrapartum Biometry and Multi-task Learning.	10.1038/s41597-026-06900-5
Abnormal signal transmission in white matter revealed by resting-state communication connectivity in Alzheimer's disease: A comprehensive cross-sectional and longitudinal study.	10.1038/s41398-026-03883-0
Deep learning meets clinical practice: A You Only Look Once-based framework for accurate and real-time detection of carotid vulnerable plaques.	10.1177/03000605261420504
The influence of sample size and covariate distributions on neuroanatomical normative modeling.	10.7554/eLife.108952
Mask - Region-based Convolutional Neural Networks (R-CNN) with Radiomics Integration and Gray Level Co-occurrence Matrix (GLCM) for brain tumor detection and segmentation.	10.1371/journal.pone.0342185
Multiparametric MRI for preoperative identification of aggressive type endometrial carcinoma in FIGO 2023: Integrating intratumoral and peritumoral parameters from multi-b-value diffusion-weighted imaging and dynamic contrast-enhanced MRI.	10.1093/bjr/tqag032
MambaMatch: A Novel Model for Semi-Supervised Spinal Cortical and Cancellous Bone Segmentation.	10.1109/TMI.2026.3666480
Evaluation of GPT-5 for Esophageal Cancer Staging Using Fluorodeoxyglucose Positron Emission Tomography Maximum-Intensity Projection Images: Comparative Pilot Study.	10.2196/86630
A Tutorial on Explainable Image Classification for Dementia Stages Using Convolutional Neural Network and Gradient-Weighted Class Activation Mapping.	10.3233/SHTI251444
UCSF RMaC: University of California San Francisco 3D Multi-Phase Renal Mass CT Dataset with Tumor Segmentations.	10.64898/2026.02.11.26346096
Predictive modeling of vocal biomarkers for the diagnosis of Parkinson's disease.	10.1007/s11571-026-10426-2
CAUSAL MODELING OF FMRI TIME-SERIES FOR INTERPRETABLE AUTISM SPECTRUM DISORDER CLASSIFICATION.	10.1109/isbi60581.2025.10980933
Opportunistic Screening for Pancreatic Cancer using Computed Tomography Imaging and Radiology Reports.	
Leveraging Large Language Models for Thyroid Nodule Information Extraction and Matching Across Medical Reports.	
Artificial intelligence as a diagnostic support tool in hysteroscopy: current evidence and clinical implications.	10.1080/13645706.2026.2635049
Bias in Structural MRI Correlates of Delay Discounting due to Head Motion.	10.1002/hbm.70474
DSFNet: Dual-source and spatiotemporal-feature fusion network for bedside diagnosis of lung injuries with electrical impedance tomography.	10.1016/j.media.2026.104003
Bioinformatics-based identification and experimental validation of biomarkers in pulmonary arterial hypertension.	10.1186/s40001-026-04013-8
TriFTM-Net: Tri-Path Fourier-Temporal Modulation Network for macular edema pathology segmentation and reconstruction in high-precision intraoperative navigation.	10.1016/j.neunet.2026.108692
Prospective pilot evaluation of a deep learning model for kidney stone detection on CT using a web-based workflow platform.	10.1007/s11255-026-05057-9
Altered perivascular diffusivity in glioblastoma: integrating DTI-ALPS index with radio-pathomic and histopathologic correlates.	10.1007/s11060-026-05458-x
Expanding access to cerebrovascular imaging with routine MRI for pre-surgical assessment of intracranial tumor patients: an AI model development and multi-center validation study.	10.1186/s12916-026-04723-0
What is associated with joint effusion in the temporomandibular joint, disc displacement, or degenerative bone changes? : a radiological study.	10.1186/s12903-026-07955-x
The confounding effects of microvascular physiology on the uptake and diagnostic accuracy of [<sup>18</sup>F]fluoroethyl-tyrosine positron emission tomography in gliomas.	10.1007/s00259-026-07782-w
Hallucination filtering in radiology vision-language models using discrete semantic entropy.	10.1007/s00330-026-12384-z
MedicalPatchNet: a patch-based self-explainable AI architecture for chest X-ray classification.	10.1038/s41598-026-40358-0
Multimodal hybrid mamba classification model for tumor pathological grade prediction using magnetic resonance images.	10.1016/j.neunet.2026.108726
Self-supervised out-of-distribution detection-Metal implants and other anomaly.	10.1002/mp.70339
Evaluation, Optimization, and Validation of a Multiparametric CT Algorithm for Solid Renal Masses: CT-Score Version 2.0.	10.1148/rycan.250145
Pediatric Personalized Deep Learning Models for Segmentation of Hepatoblastoma at CT and MRI.	10.1148/rycan.250041
Eye Movement Classification Using Neuromorphic Vision Sensors.	10.3390/jemr19010017
Linking obesity with white matter microstructure highlights the importance of brainstem tracts and sex differences.	10.1093/braincomms/fcag026
The Current Research Landscape on Integrating Artificial Intelligence with Ultrasound Imaging for Cancer Diagnosis: A Dual-Database Bibliometric Study.	10.2174/0109298673443495251215073442
Subregional limbic radiomics on FDG-PET provides accurate early detection of Alzheimer's disease.	10.1186/s12880-026-02168-8
Pneumonia detection from enhanced chest X-Ray images based on Double SGAN model.	10.1038/s41598-026-39785-w
The AI Act and the MDR post-market requirements for semiautonomous AI SaMD: a radiology case study in prostate cancer.	10.1007/s00261-026-05434-z
Radiomics and Artificial Intelligence in Multiple Sclerosis MRI: A Comprehensive Review.	10.3174/ajnr.A9245
Select then fusion: An effective multi-atlas brain network analysis method with sparse and uncertain mechanism.	10.1016/j.neunet.2026.108698
Task-specific neural networks for medical imaging using pretrained fragments.	10.1016/j.compbiomed.2026.111545
AdaptiveInvolutionNet: Spatially-adaptive involution with channel-wise attention for breast MRI tumor classification.	10.1371/journal.pone.0340808
